data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,dateOfBatteryInstall,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00018,-1,06-Oct-2003,2.4,18612,9180,RES,0,0,-1,0,-1,02563,"Sandwich",MA,"NSTAR DBA EverSource",-1,"Tj Design",0,200,-1,-1,0,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.96,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00020,-1,12-Sep-2003,1.2,11900,4590,RES,0,0,-1,0,-1,02642,"Eastham",MA,"NSTAR DBA EverSource",-1,"Tj Design",0,190,-1,-1,49,-1,-1,"-1",-1,4,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00021,-1,11-Jul-2003,2.2,17200,10890,RES,0,0,-1,0,-1,02138,"Cambridge",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,163,-1,-1,34,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-JL23-00023,-1,04-Sep-2003,1.32,10184,5940,RES,0,0,-1,0,-1,02093,"Wrentham",MA,"National Grid",-1,"Conservation Services Group Csg",0,185,-1,-1,45,-1,-1,"-1",-1,12,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,GBI-AS36-00024,-1,17-Dec-2002,21.6,311092,471730,SCHOOL,0,0,-1,0,-1,02215,"Boston",MA,"NSTAR DBA EverSource",-1,"-1",0,180,-1,-1,0,-1,-1,"-1",-1,288,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Xantrex Technology","PV15-480 [208V]",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,15.28,-1,-1,0,1.41361256544503,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00025,-1,06-Sep-2003,1.28,11900,4896,RES,0,0,-1,0,-1,02575,"West Tisbury",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,180,-1,-1,40,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00027,-1,07-Nov-2003,2.64,17800,11880,RES,0,0,-1,0,-1,02472,"Watertown",MA,"NSTAR DBA EverSource",-1,"Conservation Services Group Csg",0,130,-1,-1,20,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,1.056,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00028,-1,05-Jan-2004,2.76,18278,12420,RES,0,0,-1,0,-1,02451,"Waltham",MA,"NSTAR DBA EverSource",-1,"Conservation Services Group Csg",0,150,-1,-1,40,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,1.104,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00029,-1,05-Sep-2003,1.8,15557.5,6885,RES,0,0,-1,0,-1,02536,"Falmouth",MA,"NSTAR DBA EverSource",-1,"Tj Design",0,210,-1,-1,18,-1,-1,"-1",-1,4,"-1",-1,2,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,0.857142857142857,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00030,-1,15-Oct-2003,1.32,10900,5940,RES,0,0,-1,0,-1,02140,"Cambridge",MA,"NSTAR DBA EverSource",-1,"Conservation Services Group Csg",0,180,-1,-1,30,-1,-1,"-1",-1,12,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00031,-1,18-May-2004,1.38,11087,6210,RES,0,0,-1,0,-1,02476,"Arlington",MA,"NSTAR DBA EverSource",-1,"Conservation Services Group Csg",0,170,-1,-1,10,-1,-1,"-1",-1,12,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00032,-1,18-Aug-2003,2.64,17800,11880,RES,0,0,-1,0,-1,02476,"Arlington",MA,"NSTAR DBA EverSource",-1,"Conservation Services Group Csg",0,210,-1,-1,30,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,1.056,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00033,-1,07-Jan-2004,2.53,16953,11385,RES,0,0,-1,0,-1,02474,"Arlington",MA,"NSTAR DBA EverSource",-1,"Conservation Services Group Csg",0,152,-1,-1,35,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,1.012,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LR12-00034,-1,25-Jul-2003,7.2,65799,32400,SCHOOL,0,0,-1,0,-1,02139,"Cambridge",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,155,-1,-1,5,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-KP15-00035,-1,27-Aug-2003,2.22,23324.56,9990,RES,0,0,-1,0,-1,01351,"Montague",MA,"WMECO DBA EverSource",-1,"PV Squared",0,180,-1,-1,63,-1,-1,"-1",-1,12,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,1.05714285714286,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00036,-1,13-Aug-2003,1.2,11179.5,5049,RES,0,0,-1,0,-1,02465,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,195,-1,-1,45,-1,-1,"-1",-1,12,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00037,-1,20-Aug-2003,1.3,16765,5890.5,RES,0,0,-1,0,-1,02128,"Boston",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,214,-1,-1,5,-1,-1,"-1",-1,13,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,OPV-BF54-00038,-1,09-Aug-2003,2.64,26398,11880,RES,0,0,-1,0,-1,01002,"Amherst",MA,"WMECO DBA EverSource",-1,"Solar Works",0,185,-1,-1,0,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,1.056,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-KP15-00039,-1,05-Aug-2003,2.448,28285.03,11015,COM,0,0,-1,1,1,01301,"Greenfield",MA,"WMECO DBA EverSource",-1,"PV Squared",0,176,-1,-1,-1,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.9792,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,OPV-BF54-00040,-1,27-Jul-2003,2.2,22140,9900,RES,0,0,-1,0,-1,02420,"Lexington",MA,"NSTAR DBA EverSource",-1,"Solar Works",0,180,-1,-1,45,-1,-1,"-1",-1,20,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00041,-1,07-Oct-2003,2.4,18747,10098,RES,0,0,-1,0,-1,02135,"Boston",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,205,-1,-1,45,-1,-1,"-1",-1,24,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.96,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00042,-1,21-Oct-2003,2.42,22902,9256.5,GOV,0,0,-1,0,-1,02465,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,180,-1,-1,30,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.968,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00043,-1,29-Oct-2003,1.28,12799,4896,RES,0,0,-1,1,1,02575,"West Tisbury",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,180,-1,-1,0,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00044,-1,23-Sep-2003,1.12,12100,4284,RES,0,0,-1,0,-1,02568,"Tisbury",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,180,-1,-1,40,-1,-1,"-1",-1,7,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00045,-1,01-Oct-2003,2.2,16620.2,9256.5,RES,0,0,-1,0,-1,02130,"Boston",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,186,-1,-1,45,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00046,-1,24-Mar-2004,2.4,17540,9180,RES,0,0,-1,0,-1,02635,"Barnstable",MA,"NSTAR DBA EverSource",-1,"Tj Design",0,190,-1,-1,11,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.96,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG79-00047,-1,10-Jan-2005,9.6,89828,29635.2,COM,0,0,-1,0,-1,02127,"Boston",MA,"NSTAR DBA EverSource",-1,"Lighthouse Electrical Contracting Inc.Aldon Electric Inc.",0,190,-1,-1,33,-1,-1,"-1",-1,32,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Apollo Solar","SW4048",2,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,3.211,-1,-1,0,1.49486141388975,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,OPV-BF54-00048,-1,24-Sep-2003,1.2,14616,5400,RES,0,0,-1,0,-1,02492,"Needham",MA,"NSTAR DBA EverSource",-1,"Solar Works",0,160,-1,-1,45,-1,-1,"-1",-1,4,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
